TANGGAL,KODE,PRIORITAS,MULAI,SELESAI,MAPEL,LINK
9/1/2026,IPS7-ASLM1,7G,7:30,,ASLM1 IPS7,https://docs.google.com/forms/d/e/1FAIpQLSejrayfgR0HTW7fkXQtcOwcfzjHuQWRFs8_OwfrZn4AOPPWdg/viewform?usp=pp_url&entry.1612713997=IPS7-ASLM1&entry.1913267957=KODE
8/28/2026,TRY-OUT,,22:00,23:59,TRY OUT,https://docs.google.com/forms/d/e/1FAIpQLSdvRPlHsCyXVXWjkKdlLAFOC8F85HJSVb0CKfvzKbxyttbr3A/viewform?usp=pp_url&entry.31621421=TRY-OUT&entry.771789844=KODE
8/28/2026,OLIMPIADE-PAI7,7,7:50,8:30,PAIBP OLIMPIADE,https://docs.google.com/forms/d/e/1FAIpQLSeV_qXTQPEh1mYVgGl78stCWRsYhO-1-M8xppPNF0WT0Zn0vQ/viewform?usp=pp_url&entry.1915891813=OLIMPIADE-PAI7&entry.1702769787=KODE
8/28/2026,OLIMPIADE-PAI8,8,7:50,8:30,PAIBP OLIMPIADE,https://docs.google.com/forms/d/e/1FAIpQLSc2r6S4AQvafJf9oBG1VNbfbleQxTIUjvmfuem6D7l4CIxBaA/viewform?usp=pp_url&entry.1766630500=OLIMPIADE-PAI8&entry.1890118368=KODE
8/28/2026,OLIMPIADE-PAI9,9,9:00,10:30,PAIBP OLIMPIADE,https://docs.google.com/forms/d/e/1FAIpQLSclfbephouAd0WYKcCBWTVN4uGL5qr3DzKSNCl9YdwC3UAA2g/viewform?usp=pp_url&entry.1056573869=OLIMPIADE-PAI9&entry.25077820=KODE
8/26/2026,IPS9-ASLM1,"9C, 9D",19:30,20:30,ASLM1 IPS9,https://docs.google.com/forms/d/e/1FAIpQLSd5o4yqmPZVC0to53jYUnDL-pcPY9vZfoKq2Z7wAbwRzLr0hQ/viewform?usp=pp_url&entry.484632962=IPS9-ASLM1&entry.1262900774=KODE
8/26/2026,IPS7-ASLM1,7E,7:30,850,ASLM1 IPS7,https://docs.google.com/forms/d/e/1FAIpQLSejrayfgR0HTW7fkXQtcOwcfzjHuQWRFs8_OwfrZn4AOPPWdg/viewform?usp=pp_url&entry.1612713997=IPS7-ASLM1&entry.1913267957=KODE
8/26/2026,IPS7-ASLM1,7F,10:30,11:50,ASLM1 IPS7,https://docs.google.com/forms/d/e/1FAIpQLSejrayfgR0HTW7fkXQtcOwcfzjHuQWRFs8_OwfrZn4AOPPWdg/viewform?usp=pp_url&entry.1612713997=IPS7-ASLM1&entry.1913267957=KODE
8/27/2026,IPS9-ASLM1,"9B,9E",7:50,11:50,ASLM1 IPS9,https://docs.google.com/forms/d/e/1FAIpQLSd5o4yqmPZVC0to53jYUnDL-pcPY9vZfoKq2Z7wAbwRzLr0hQ/viewform?usp=pp_url&entry.484632962=IPS9-ASLM1&entry.1262900774=KODE
8/26/2026,Bk7,7,13:00,14:00,Bimbingan Konseling,https://docs.google.com/forms/d/e/1FAIpQLSeX2Kqg1-QndOgbJBh2Gkcv0HY9HpPfcbi5BZSZAB55eYImSw/viewform?usp=dialog
