key,value
namaSekolah,SMP NEGERI 1 KALIMENDI
alamat,Jl. Raya Kigesang Prajawinangun Kulon - Kaliwedi
logo,https://drive.google.com/uc?export=view&id=1-KsiwAPWoR3bsBrJCxoxrDBQ5KYHs6RD
judul,Asesmen Sumatif Tengah Semester Gasal
tahun,2026/2027
asesmenKe,4
waktuMulai,09:00
durasi,90
mapelKls7,PKN
mapelKls8,PKN
mapelKls9,PKN
linkKls7,https://docs.google.com/forms/d/e/1FAIpQLScGa4DrVtit5e8K96JYLvHyX-xafFOwM4rRFtcpLXccS198HQ/viewform?usp=pp_url&entry.824342442=nomorid
linkKls8,https://docs.google.com/forms/d/e/1FAIpQLSfKFz_Ot6Cr1blrxu1yWiqDSSKCmLArsjM6hFAtHUBZZPRwhw/viewform?usp=pp_url&entry.224803310=nomorid
linkKls9,https://docs.google.com/forms/d/e/1FAIpQLScg-M6Ij92pLWPUW0oR5g3PYYEDkYqt0gn9XONKJ7b5RKxoOQ/viewform?usp=pp_url&entry.601567483=nomorid
token,MASUK01
